schießen,to shoot,,9,Schießen!,Release!
verklingt,to fade out,,9,[Musik verklingt],
zielen,to aim/ to draw,,9,Zielen!,Draw!
düstere,gloomy,,8,[düstere Musik],A NETFLIX SERIES
lebe,"to live, hail",,7,Es lebe…,Hail!
keucht,gasp,,5,[keucht angestrengt],
sanfte,soft,,5,[sanfte melancholische Musik],
Stamm,tribe (m),,4,Dein Stamm braucht jetzt seinen Reik.,Your tribe needs its reik now.
knurrt,growls,,4,[Wolf knurrt],
schaffen,to accomplish,,4,"…etwas zu schaffen,
das du nicht schaffen kannst.",-I tried to-- -Trying to accomplish something you can't…
schreie,scream,,4,[unverständliche Schreie],
truppen,troops,,4,[Thusnelda] Holt er seine Truppen?,Will he fetch his troops?
weint,cries,,4,[weint und schreit],
Armee,army (f),,3,"Wer auch immer reitet,
muss die Armee überzeugen, herzukommen.",Whoever goes will have to convince the army to come here.
Ast,(tree) branch (m),,3,[Ast knackst],
Blut,blood (n),,3,"Der Plan ist mit dem Blut der Stämme
im Boden versickert!",My plan? My plan seeped into the ground with the blood of the tribes!
Fehler,mistake (m),,3,Ich hab Fehler gemacht.,I've made mistakes.
Kaiser,emperor (m),,3,[Römer 1] Es lebe der Kaiser!,Hail Caesar!
Klänge,sounds,,3,[düstere Klänge],
bereit,ready/prepared,,3,Gut. Wir sind bereit.,Good. We're ready for them.
folgen,to follow,,3,Die Markomannen werden dir folgen.,The Marcomanni will follow you. Everyone will follow you.
knackst,to crack,,3,[Ast knackst],
reiten,to ride,,3,Wir reiten bei Sonnenaufgang.,We leave at dawn.
schnappt,to grab,,3,Schnappt ihn euch!,Grab him!
stimmengewirr,babble of voices,,3,[Stimmengewirr],
unverständliche,incomprehensible,,3,[unverständliche Schreie],
verirrt,to be lost,,3,Du hast dich verirrt?,You're lost?
wald,woods,,3,Ein kleiner Junge allein im Wald.,"A little boy, all alone in the woods."
Abmachung,promise,,2,"weil du deine Abmachung
mit den Göttern nicht einhältst?","One wonders, is all this due to you not keeping your promise to the gods?"
abgeschlachtet,slaughtered,,2,"[Römer 1, Latein] Germanicus
hat die Barbaren abgeschlachtet!",Germanicus slaughtered the savages!
